experiment,row_id,interface,model_condition,parsed,action_energy_kwh,branch,nontrivial_1kwh,nontrivial_5kwh,nontrivial_10kwh
E1,e1_2a151b712f538767d35b,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_2bbf251c2a986ce37857,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_30980edcc54b5cf76203,I3,qwen_flash,True,5500.0,,True,True,True
E1,e1_30b1ed5c92d3e8eaaf0b,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_314557f295f4cdcf5d04,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_32b6a2f92403c0addf89,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_32eaf946ed6a2f223de2,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_32ef189f802664086734,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_370f93bd8487e21cfe00,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_39c39732e2576c0e5c3a,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_3f1549c7d6b164c867af,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_3f25c3280e751cfc5588,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_3fc970161ad69aab8ad3,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_40232a002dd84f2780bd,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_411c381883a934a11379,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_418b1ac3df7f8d5d48c1,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_427f83fcb1597ae62d8d,I3,qwen_flash,True,4890.0,,True,True,True
E1,e1_434740702da9b06ab7c6,I3,qwen_flash,True,5750.0,,True,True,True
E1,e1_45acc7cdc5ac4b4acef9,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_4af1d70385eeed6a2e11,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_4b07acd7d213f95d06e1,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_4beb3e269b88a1f06bc4,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_4d0302272bc329461259,I3,deepseek_formal,True,930.0,,True,True,True
E1,e1_4d2fef5e948edac51041,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_4db3a887afa5eb3afd7e,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_4ded36464821d987ef43,I3,deepseek_formal,True,930.0,,True,True,True
E1,e1_4e69567bed9021ce8d7d,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_4e85360d2499c3bace08,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_4f006499e83a3b0ec6b7,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_4f5b1e25a9bcdc1b2d84,I3,deepseek_formal,True,2062.5,,True,True,True
E1,e1_4f710a0ce4e02f85a3dd,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_50bed43284b8659ccb5c,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_51a184930f121fb6a920,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_531e2ddd604abd2f3807,I3,deepseek_formal,True,1380.0,,True,True,True
E1,e1_534995bd922e7507326c,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_540cd01121d37ffbd6ac,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_5471017391dc7ad403ca,I0,deepseek_formal,False,0.0,,False,False,False
E1,e1_550e5feb90ed2756c6a2,I3,qwen_flash,True,5500.0,,True,True,True
E1,e1_5751c380f1e9a7868896,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_5b02e06fc9fea16f1326,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_5b5411f688c30be198d9,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_5bd67ae9c39db06eb581,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_5c60d474984be80e7314,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_5cc4a48f21d766e7635a,I3,qwen_flash,True,5500.0,,True,True,True
E1,e1_5cca60ca6502e5069f2d,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_5ced58266f6edcf695b6,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_5d6716c25f8c54c45612,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_5fd389af73136812caa7,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_62416e3b377b6c9aae45,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_636f7e8c311b6283bfd9,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_643c40d59d4c1c16a43e,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_656b043fbaa001267c1d,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_66066ec8fee05e5c99db,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_6701b403d2bdc9f1a29b,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_67bc653a84f678399be9,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_694d346add397264e33c,I0,deepseek_formal,False,0.0,,False,False,False
E1,e1_6bf7b9a614660544df71,I3,qwen_flash,True,5750.0,,True,True,True
E1,e1_6d8d27db4cb2ee1817e9,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_6dce9fa8ee0f7eb4a390,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_6e84cafc5289a97414a0,I3,qwen_flash,True,5500.0,,True,True,True
E1,e1_6fdc2941646c67cb4d2e,I3,deepseek_formal,True,2187.5,,True,True,True
E1,e1_72d045154b4269e50804,I3,deepseek_formal,True,1242.5,,True,True,True
E1,e1_7571298897d4e7e6cafb,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_7664dd1f56113e9573f2,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_7823e9833d157433550a,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_79cfb855305e734ffbe1,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_7a3a83ce663ba21f4090,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_7a766e3452307da83277,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_7befae7bb8efc00cdc61,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_7c81312b0de24857c9c6,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_7c876472adde6cd873a8,I3,deepseek_formal,True,0.0,,False,False,False
E1,e1_7d7c7840ed12d711fb42,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_7f401ea6fc4b5970485a,I3,qwen_flash,True,5625.0,,True,True,True
E1,e1_7fca2616cdc8fb68ef21,I3,deepseek_formal,True,2187.5,,True,True,True
E1,e1_800529787bda26273811,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_805e6305ae526ea3bddc,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_80c8c59242099c8c1104,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_81a071ea327707a7f455,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_8220369b1db2a4dcbbe0,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_84a29861c9dbc378362d,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_84ac33bc46942f4217d7,I3,qwen_flash,True,5650.0,,True,True,True
E1,e1_870f790edbf092c46885,I3,deepseek_formal,True,0.0,,False,False,False
E1,e1_89d857ba21a20c1ebc2d,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_8a06353ab2253864e0dc,I3,qwen_flash,True,4490.0,,True,True,True
E1,e1_8a12d14dd74fefdb069f,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_8a7b7fde4959ad1ec57a,I3,deepseek_formal,True,1750.0,,True,True,True
E1,e1_8ec839a535b464c990b3,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_8ee8ec5ede11b40f4ae3,I3,deepseek_formal,True,1750.0,,True,True,True
E1,e1_8ef47ba1cefd3c4d1ce9,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_8f6d8fc2e7253d31e9c1,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_91ce92f3091657850b20,I3,deepseek_formal,True,1750.0,,True,True,True
E1,e1_91d00eb68082ee110e8e,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_94b0bef51961fb225b22,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_9533001d8c7ad0b44b3d,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_95dbc2081c1763061e02,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_95ed8ede4e492b3072e3,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_97107f08f184d489d6ff,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_9812734a75e447fc8c30,I3,qwen_flash,True,5150.0,,True,True,True
E1,e1_98fbbdc6483f90ba2940,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_9976ce876e67c1c9daa3,I3,deepseek_formal,True,1750.0,,True,True,True
E1,e1_99a3dcb53684d51d6e64,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_9ba17b029bf81bc2f10d,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_9c5bbbf6f6ee148d7bcf,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_9cdfae74d051dab846f3,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_9f129206f124cf8adda2,I3,qwen_flash,True,5625.0,,True,True,True
E1,e1_9f2d92395168fc4fa442,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_a080d6916cf23de37d22,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_a0d1f9a8fba3ac56cb10,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_a29bdfa3d111de5719a9,I3,qwen_flash,True,5500.0,,True,True,True
E1,e1_a4a5ebc05a17435aabdb,I3,qwen_flash,True,3495.0,,True,True,True
E1,e1_a56fdaf045d8c69f424b,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_a74a7030f7db5767ec7d,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_a7bd225807734506b2c2,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_a8c559aeec42bcc0a3ed,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_a90bd39883110a7935de,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_a9567a6ec095cdc21670,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_a99e33a8cae5d8ce815e,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_a9ab58a57a049a5c0c03,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_aae2d868a36b3c644aec,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_abfdbddd6070773a795c,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_ad1c9b827d6459250569,I3,deepseek_formal,True,1875.0,,True,True,True
E1,e1_ad6eb45623099e495ec9,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_af2d89670e6b23ea865c,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_af49f332d1b8bae44174,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_b04ad217de556652caf9,I3,deepseek_formal,True,1380.0,,True,True,True
E1,e1_b0f100a75296aeb9e7d3,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_b219f5e935ba32b75759,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_b236558302f83ffcc32c,I3,deepseek_formal,True,1380.0,,True,True,True
E1,e1_b271481debd712a83e67,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_b2806f22c4ae9edd7d9f,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_b38c8739a28837643188,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_b4f27c143da7f66d170d,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_b56f06ab07940f1ac5a5,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_b632e2bca237d1117d5f,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_b731f8c83da7398a8a8b,I3,qwen_flash,True,3200.0,,True,True,True
E1,e1_b7379febbb1a4bc7fe8e,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_b83dc876e08f6df524a0,I3,deepseek_formal,True,930.0,,True,True,True
E1,e1_b89c6cae4b50207eb4b3,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_b8c3a3d81453c560dce1,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_bae9f375df55c039861a,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_bbc4b3dbeeca8950b1dd,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_bf6b6f47e07c5808cf25,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_bf9d2509eb8e62cad66e,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_bfe900496d286bcd082b,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_c11a27fb8dd11fbb07d8,I3,deepseek_formal,True,930.0,,True,True,True
E1,e1_c1bfb589b09203d5becf,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_c1de50690670cd3aa5ca,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_c237b6cc51c796626f81,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_c30f58be28eca162a4ec,I3,qwen_flash,True,5500.0,,True,True,True
E1,e1_c361a8d2a6e31a80c62e,I3,qwen_flash,True,3200.0,,True,True,True
E1,e1_c37aa8886874da437259,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_c4743c2b56d582026a66,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_c4ec0f8fcfc4ace13f70,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_c5cbfee57aaa9983f72d,I3,deepseek_formal,True,1875.0,,True,True,True
E1,e1_c6b1a2de37519d56f494,I3,deepseek_formal,True,5750.0,,True,True,True
E1,e1_caebf05cacae1ef6e49e,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_cbe5f06a3e9d3cc5ece4,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_cc0ae18b4663b5365c95,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_cc192974443d0586862c,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_cdcfefef6d2312523729,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_cdd478d29920610ed39a,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_cdf14898ac9c8d899f36,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_cfb4b574f78583850d59,I3,qwen_flash,True,5625.0,,True,True,True
E1,e1_d0e8905d220c85b936a1,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_d1a6a8a3d32a1d64bca4,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_d3b083d95b9a6d50ee16,I3,deepseek_formal,True,5500.0,,True,True,True
E1,e1_d424a18ff301d37ec2ad,I3,deepseek_formal,True,930.0,,True,True,True
E1,e1_d5401051c27aa5a6bdb6,I0,deepseek_formal,False,0.0,,False,False,False
E1,e1_d55c238b04a5f33707b9,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_d5cfb30c50213dfc16a6,I3,qwen_flash,True,5750.0,,True,True,True
E1,e1_d6b948063a02e850c8f0,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_d7110745adb4f2214812,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_d78601b03111857da400,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_da2d45488815a873b410,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_db5af2a8cca4b1fea845,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_dc0e6e20f9e7b44c66a7,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_dc8716c89e01a48d499c,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_dd57c096affedd1e78bc,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_dd653fa1090678efe8d3,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_df5b0a18cbc071a7daaf,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_e53b8c2a12b388617220,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_e5761d91093e78c44683,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_e67408dc4d46ad3aac94,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_e6d3b45f1dfd04e87089,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_e6f7e5255511f2ed47a8,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_e6fbcfce30285cab448e,I3,qwen_flash,True,4890.0,,True,True,True
E1,e1_e815140e56c67a256724,I3,deepseek_formal,True,930.0,,True,True,True
E1,e1_eaee8e6eb09ab86be0cf,I0,deepseek_formal,False,0.0,,False,False,False
E1,e1_ec42ebb6e60185160a6e,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_eccce1f7a2ae7d06c560,I3,deepseek_formal,True,930.0,,True,True,True
E1,e1_ed60e90a37118cab8cdc,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_efd6ca275d97f43de979,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_f2e880a1c2c44b0a1c01,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_f37e8d289f6f6bad0e1f,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_f4daea98b80ec77c8cb8,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_f668581091df0ebf7c35,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_f7c126d4016997045494,I3,qwen_flash,True,5750.0,,True,True,True
E1,e1_f87865759cd0088a3a12,I3,deepseek_formal,True,0.0,,False,False,False
E1,e1_fb78b1d8235e588ccad9,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_fc5e9140787b9e88e328,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_fcf21b8aa4956f3491e6,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_fd2cd1d97668d4e13137,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_fd2fca49085daae9bed4,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_fd71476e374002ededc2,I3,deepseek_formal,True,930.0,,True,True,True
E1,e1_fdb1b84c28058f63a31f,I3,deepseek_formal,True,1500.0,,True,True,True
E2,e2_00ac6d7de3f6e339ecf2:C,I3,deepseek_formal,True,1500.0,C,True,True,True
E2,e2_00ac6d7de3f6e339ecf2:C2,I3,deepseek_formal,True,1500.0,C2,True,True,True
E2,e2_00ac6d7de3f6e339ecf2:K,I3,deepseek_formal,True,1500.0,K,True,True,True
E2,e2_00ac6d7de3f6e339ecf2:M,I3,deepseek_formal,False,0.0,M,False,False,False
E2,e2_00ac6d7de3f6e339ecf2:S,I3,deepseek_formal,True,1500.0,S,True,True,True
E2,e2_0158153ba271274f359a:C,I3,deepseek_formal,True,1500.0,C,True,True,True
E2,e2_0158153ba271274f359a:C2,I3,deepseek_formal,True,1500.0,C2,True,True,True
E2,e2_0158153ba271274f359a:K,I3,deepseek_formal,True,1500.0,K,True,True,True
E2,e2_0158153ba271274f359a:M,I3,deepseek_formal,True,0.0,M,False,False,False
E2,e2_0158153ba271274f359a:S,I3,deepseek_formal,True,1500.0,S,True,True,True
E2,e2_0250de70509797020ce2:C,I3,qwen_flash,False,0.0,C,False,False,False
E2,e2_0250de70509797020ce2:C2,I3,qwen_flash,False,0.0,C2,False,False,False
E2,e2_0250de70509797020ce2:K,I3,qwen_flash,False,0.0,K,False,False,False
E2,e2_0250de70509797020ce2:M,I3,qwen_flash,False,0.0,M,False,False,False
E2,e2_0250de70509797020ce2:S,I3,qwen_flash,False,0.0,S,False,False,False
E2,e2_038d6c750a9447182af5:C,I3,deepseek_formal,True,1500.0,C,True,True,True
E2,e2_038d6c750a9447182af5:C2,I3,deepseek_formal,True,1500.0,C2,True,True,True
E2,e2_038d6c750a9447182af5:K,I3,deepseek_formal,True,720.0,K,True,True,True
E2,e2_038d6c750a9447182af5:M,I3,deepseek_formal,True,0.0,M,False,False,False
E2,e2_038d6c750a9447182af5:S,I3,deepseek_formal,True,1500.0,S,True,True,True
E2,e2_04059296daf99d917dac:C,I3,deepseek_formal,True,1500.0,C,True,True,True
E2,e2_04059296daf99d917dac:C2,I3,deepseek_formal,True,1500.0,C2,True,True,True
E2,e2_04059296daf99d917dac:K,I3,deepseek_formal,True,0.0,K,False,False,False
E2,e2_04059296daf99d917dac:M,I3,deepseek_formal,True,0.0,M,False,False,False
E2,e2_04059296daf99d917dac:S,I3,deepseek_formal,True,1500.0,S,True,True,True
E2,e2_04dd59b18e8b51c01200:C,I3,deepseek_formal,True,1500.0,C,True,True,True
E2,e2_04dd59b18e8b51c01200:C2,I3,deepseek_formal,True,1500.0,C2,True,True,True
E2,e2_04dd59b18e8b51c01200:K,I3,deepseek_formal,True,1500.0,K,True,True,True
E2,e2_04dd59b18e8b51c01200:M,I3,deepseek_formal,False,0.0,M,False,False,False
E2,e2_04dd59b18e8b51c01200:S,I3,deepseek_formal,True,1500.0,S,True,True,True
E2,e2_0536a207b099668846d1:C,I3,deepseek_formal,True,1500.0,C,True,True,True
E2,e2_0536a207b099668846d1:C2,I3,deepseek_formal,True,1500.0,C2,True,True,True
E2,e2_0536a207b099668846d1:K,I3,deepseek_formal,True,1500.0,K,True,True,True
E2,e2_0536a207b099668846d1:M,I3,deepseek_formal,True,0.0,M,False,False,False
E2,e2_0536a207b099668846d1:S,I3,deepseek_formal,True,1500.0,S,True,True,True
E2,e2_05aa88e78419b9afb4f6:C,I3,deepseek_formal,True,1200.0,C,True,True,True
E2,e2_05aa88e78419b9afb4f6:C2,I3,deepseek_formal,True,1200.0,C2,True,True,True
E2,e2_05aa88e78419b9afb4f6:K,I3,deepseek_formal,True,0.0,K,False,False,False
E2,e2_05aa88e78419b9afb4f6:M,I3,deepseek_formal,True,0.0,M,False,False,False
E2,e2_05aa88e78419b9afb4f6:S,I3,deepseek_formal,True,1200.0,S,True,True,True
E2,e2_0703e10aefb5006f051d:C,I3,deepseek_formal,True,1500.0,C,True,True,True
E2,e2_0703e10aefb5006f051d:C2,I3,deepseek_formal,True,1500.0,C2,True,True,True
E2,e2_0703e10aefb5006f051d:K,I3,deepseek_formal,True,1500.0,K,True,True,True
E2,e2_0703e10aefb5006f051d:M,I3,deepseek_formal,True,0.0,M,False,False,False
E2,e2_0703e10aefb5006f051d:S,I3,deepseek_formal,True,1500.0,S,True,True,True
E2,e2_071b561a2b4de536a58b:C,I3,deepseek_formal,True,1500.0,C,True,True,True
E2,e2_071b561a2b4de536a58b:C2,I3,deepseek_formal,True,1500.0,C2,True,True,True
E2,e2_071b561a2b4de536a58b:K,I3,deepseek_formal,True,1500.0,K,True,True,True
E2,e2_071b561a2b4de536a58b:M,I3,deepseek_formal,True,5750.0,M,True,True,True
E2,e2_071b561a2b4de536a58b:S,I3,deepseek_formal,True,1500.0,S,True,True,True
E2,e2_0725aff6f0161bce084a:C,I3,qwen_flash,True,5250.0,C,True,True,True
E2,e2_0725aff6f0161bce084a:C2,I3,qwen_flash,True,5250.0,C2,True,True,True
E2,e2_0725aff6f0161bce084a:K,I3,qwen_flash,False,0.0,K,False,False,False
E2,e2_0725aff6f0161bce084a:M,I3,qwen_flash,False,0.0,M,False,False,False
E2,e2_0725aff6f0161bce084a:S,I3,qwen_flash,True,5250.0,S,True,True,True
E2,e2_07a028b6fd2bd516b912:C,I3,deepseek_formal,True,1380.0,C,True,True,True
E2,e2_07a028b6fd2bd516b912:C2,I3,deepseek_formal,True,1380.0,C2,True,True,True
E2,e2_07a028b6fd2bd516b912:K,I3,deepseek_formal,True,0.0,K,False,False,False
E2,e2_07a028b6fd2bd516b912:M,I3,deepseek_formal,True,0.0,M,False,False,False
E2,e2_07a028b6fd2bd516b912:S,I3,deepseek_formal,True,1380.0,S,True,True,True
E2,e2_082ffe1f397d993b926f:C,I3,deepseek_formal,True,1500.0,C,True,True,True
E2,e2_082ffe1f397d993b926f:C2,I3,deepseek_formal,True,1500.0,C2,True,True,True
E2,e2_082ffe1f397d993b926f:K,I3,deepseek_formal,True,1500.0,K,True,True,True
E2,e2_082ffe1f397d993b926f:M,I3,deepseek_formal,True,0.0,M,False,False,False
E2,e2_082ffe1f397d993b926f:S,I3,deepseek_formal,True,1500.0,S,True,True,True
E2,e2_083c5fd294fcf700a829:C,I3,deepseek_formal,True,1200.0,C,True,True,True
E2,e2_083c5fd294fcf700a829:C2,I3,deepseek_formal,True,1200.0,C2,True,True,True
E2,e2_083c5fd294fcf700a829:K,I3,deepseek_formal,True,0.0,K,False,False,False
E2,e2_083c5fd294fcf700a829:M,I3,deepseek_formal,True,0.0,M,False,False,False
